Designator,Mid X,Mid Y,Layer,Rotation
C1,4,-1.3,top,180
C2,17.2,-9.8,top,90
C3,11.4,-3.2,top,-90
C4,4,-4.7,top,180
C5,15.2,-9.8,top,90
C7,8.5,-8,top,0
C8,15,-3.2,top,90
C9,17.6,-7.1,top,90
D1,21.5,-1.5,top,0
L1,21,-8,top,0
R2,17.25,-5.32,top,180
R3,16.656494,-7,top,-90
R4,8.5,-6,top,0
R5,8.5,-7,top,0
R6,8.5,-5,top,180
R7,11,-8.5,top,180
R8,16,-3.2,top,-90
U1,13.04,-5.97,top,0
